algorithm,escenario,valor_hora,cost_total,distance_total_km,time_total_h,toll_total,fuel_total,cost_time,n_iter,best_iter,runtime_s,seed
aco,bajo,15.0,2883.9652550502124,8906.166828092686,98.95740920102982,573.5571437291687,826.0469733055966,1484.3611380154473,400,298,18.157752125058323,1983
ga,bajo,15.0,3058.5770984099845,9445.397390735452,104.94885989706059,608.283591963363,876.0606079907132,1574.2328984559088,800,395,38.70842562499456,1983
aco,medio,30.0,4398.174723331913,8967.021760845248,99.63357512050274,577.4762013984339,831.6912683183966,2989.0072536150824,400,212,18.74486287496984,1983
ga,medio,30.0,4712.722515528175,9608.323454133355,106.75914949037062,618.7760304461881,891.1720003708688,3202.7744847111185,800,527,39.22325904201716,1983
aco,alto,50.0,6412.453463471682,8997.338962053076,99.97043291170084,579.428629156218,834.5031887304226,4998.521645585042,400,233,18.614779999945313,1983
ga,alto,50.0,6731.787194807105,9445.397390735452,104.94885989706057,608.283591963363,876.0606079907132,5247.442994853029,800,410,38.997865583980456,1983
