function,dim,algorithm,n_runs,f_mean,f_median,f_std,f_best,f_worst,evals_mean,evals_median,success_rate,runtime_mean_s,seed_base
goldstein_price,2,differential_evolution,30,2.999999999999924,2.9999999999999223,1.6714910626915568e-15,2.999999999999922,2.9999999999999254,8040.0,8040.0,1.0,0.2267647889132301,2383007150
goldstein_price,2,evolutionary,30,3.0000001256415056,3.0000000122187767,2.634159279118574e-07,2.9999999999999236,3.0000011517142844,12060.0,12060.0,1.0,0.1674109472427517,2183006550
goldstein_price,2,gradient_descent,1600,137.57031235646372,30.000000018002474,276.50565360351374,3.000000012257913,840.0000000023656,9002.55,10001.0,0.2925,0.1531889020271774,2083006250
goldstein_price,2,pso,30,2.9999999999999267,2.9999999999999254,2.7910574051884874e-15,2.999999999999922,2.9999999999999325,8040.0,8040.0,1.0,0.007391704246401787,2283006850
goldstein_price,3,differential_evolution,30,2.999999999999926,2.9999999999999245,2.33727657085239e-15,2.9999999999999196,2.999999999999928,8040.0,8040.0,1.0,0.21947043330874294,2383007150
goldstein_price,3,evolutionary,30,3.0000003140692937,3.0000000142116576,6.713784149306313e-07,3.0000000000828235,3.0000028330726276,12060.0,12060.0,1.0,0.16168819994976122,2183006550
goldstein_price,3,gradient_descent,1600,138.86552933571855,30.844106447487118,276.4728507295789,3.0004810253278706,843.6751726885576,14001.0,14001.0,0.015,0.24684347188303946,2083006250
goldstein_price,3,pso,30,2.999999999999928,2.999999999999927,3.0250266941902737e-15,2.9999999999999223,2.999999999999934,8040.0,8040.0,1.0,0.00610886812210083,2283006850
griewank,2,differential_evolution,30,0.0014797170364305352,5.864198016070077e-13,0.0029592755460198005,0.0,0.007409396787819711,8040.0,8040.0,1.0,0.15367673187671851,2383007150
griewank,2,evolutionary,30,0.004523055667363174,0.007396040334115117,0.003716381105788583,0.0,0.009864672477603587,12060.0,12060.0,1.0,0.16047091937313476,2183006550
griewank,2,gradient_descent,1600,58.07367094469908,54.853201721142575,38.07760110934837,0.1578347520790716,174.56342447715394,216.65625,216.0,0.0,0.0018944093775644434,2083006250
griewank,2,pso,30,0.002218813342038195,1.2723322395657988e-11,0.003389290654468366,0.0,0.007396040334309739,8040.0,8040.0,1.0,0.004312369328302642,2283006850
griewank,3,differential_evolution,30,0.030685115175415868,0.02935461282890428,0.01227165496348224,0.012536884975914209,0.056359226473121304,8040.0,8040.0,0.0,0.15009904456480097,2383007150
griewank,3,evolutionary,30,0.008010218122660258,0.009857284908974473,0.004822708453771435,6.95458035604446e-08,0.022185662952701857,12060.0,12060.0,0.8333333333333334,0.164920329170612,2183006550
griewank,3,gradient_descent,1600,89.41259559774589,86.43877971973788,45.167336164837266,0.7195224907709953,231.5075052868087,531.04875,498.0,0.0,0.004410036001354456,2083006250
griewank,3,pso,30,0.009866617430058056,0.007396040999845588,0.010229302415237146,1.3322676295501878e-15,0.051779676755105974,8040.0,8040.0,0.7666666666666667,0.004601655543471376,2283006850
rastrigin,2,differential_evolution,30,0.0,0.0,0.0,0.0,0.0,8040.0,8040.0,1.0,0.13113736805971712,2383007150
